,genre_name
0,pop
1,dance pop
2,pop rap
3,rap
4,tropical house
5,post-teen pop
6,rock
7,trap music
8,hip hop
9,southern hip hop
10,latin
11,pop rock
12,dwn trap
13,edm
14,neo mellow
15,alternative rock
16,r&b
17,classic rock
18,latin pop
19,album rock
20,indie pop
21,alternative metal
22,indie rock
23,mellow gold
24,post-grunge
25,viral pop
26,hard rock
27,singer-songwriter
28,indie r&b
29,pop punk
30,folk-pop
31,soft rock
32,tropical
33,reggaeton
34,indie folk
35,indietronica
36,electro house
37,nu metal
38,permanent wave
39,canadian pop
40,gangster rap
41,indie poptimism
42,urban contemporary
43,contemporary country
44,hip pop
45,country road
46,country
47,garage rock
48,folk rock
49,house
50,big room
51,latin hip hop
52,rap metal
53,rock en espanol
54,stomp and holler
55,funk rock
56,soul
57,dirty south rap
58,chamber pop
59,grupera
60,europop
61,underground hip hop
62,regional mexican
63,modern country rock
64,blues-rock
65,roots rock
66,synthpop
67,dance rock
68,alternative dance
69,new wave pop
70,neo soul
71,adult standards
72,emo
73,progressive house
74,west coast rap
75,new wave
76,classic funk rock
77,banda
78,quiet storm
79,latin alternative
80,neo-psychedelic
81,new rave
82,psychedelic rock
83,norteno
84,deep big room
85,spanish pop
86,progressive electro house
87,art rock
88,rap rock
89,trap latino
90,funk
91,teen pop
92,motown
93,shimmer pop
94,electronic
95,metal
96,deep pop r&b
97,deep indie r&b
98,brostep
99,deep tropical house
100,crunk
101,regional mexican pop
102,screamo
103,reggaeton flow
104,escape room
105,electronic trap
106,punk
107,new romantic
108,disco
109,pixie
110,swedish pop
111,acoustic pop
112,new americana
113,indie anthem-folk
114,pop reggaeton
115,metropopolis
116,metalcore
117,vapor soul
118,focus
119,hardcore hip hop
120,deep german hip hop
121,trap francais
122,jazz blues
123,brill building pop
124,deep funk carioca
125,folk
126,francoton
127,bass trap
128,swedish idol pop
129,southern rock
130,east coast hip hop
131,freak folk
132,chillwave
133,christian alternative rock
134,talent show
135,german hip hop
136,vocal jazz
137,groove metal
138,dance-punk
139,modern blues
140,ranchera
141,piano rock
142,worship
143,hollywood
144,soundtrack
145,boy band
146,g funk
147,lo-fi
148,british blues
149,redneck
150,soul blues
151,country rock
152,new jack swing
153,rock-and-roll
154,christian music
155,vegas indie
156,argentine rock
157,memphis soul
158,ccm
159,protopunk
160,noise pop
161,moombahton
162,deep underground hip hop
163,glam metal
164,deep pop edm
165,detroit hip hop
166,mpb
167,southern soul
168,sertanejo universitario
169,electric blues
170,cantautor
171,compositional ambient
172,german pop
173,traditional folk
174,melodic metalcore
175,britpop
176,outlaw country
177,christian rock
178,downtempo
179,deep dutch hip hop
180,underground pop rap
181,cumbia pop
182,dream pop
183,k-pop
184,complextro
185,alternative hip hop
186,korean pop
187,glam rock
188,chicago soul
189,tracestep
190,deep australian indie
191,funk metal
192,traditional country
193,grunge
194,pop emo
195,british invasion
196,deep german pop rock
197,indiecoustica
198,deep groove house
199,australian dance
200,trip hop
201,vapor twitch
202,grime
203,anthem worship
204,speed metal
205,scorecore
206,pagode
207,disco house
208,italian arena pop
209,italian pop
210,melancholia
211,classical
212,channel pop
213,indie psych-rock
214,catstep
215,lilith
216,anti-folk
217,samba
218,mariachi
219,reggae fusion
220,swedish folk pop
221,skate punk
222,minimal dub
223,slow core
224,roots reggae
225,video game music
226,cumbia
227,bubblegum pop
228,nu gaze
229,australian alternative rock
230,la indie
231,rockabilly
232,deep trap
233,duranguense
234,jazz
235,texas country
236,german techno
237,symphonic rock
238,chillhop
239,dancehall
240,bachata
241,progressive metal
242,alt-indie rock
243,bossa nova
244,reggae
245,candy pop
246,otacore
247,lift kit
248,french pop
249,nu jazz
250,madchester
251,merseybeat
252,romantic
253,comic
254,deep latin hip hop
255,progressive rock
256,space rock
257,power metal
258,classify
259,deep danish pop
260,alternative country
261,danish pop
262,etherpop
263,hoerspiel
264,uk funky
265,thrash metal
266,spanish rock
267,sky room
268,sertanejo
269,jam band
270,eurodance
271,trance
272,deep cumbia sonidera
273,nashville sound
274,mandopop
275,swedish indie rock
276,finnish dance pop
277,lounge
278,taiwanese pop
279,deep southern trap
280,brazilian hip hop
281,industrial metal
282,french hip hop
283,chamber psych
284,jazz funk
285,bolero
286,deep euro house
287,bow pop
288,swedish alternative rock
289,post-punk
290,deep taiwanese pop
291,shiver pop
292,turkish pop
293,alternative emo
294,progressive trance
295,cool jazz
296,bubblegum dance
297,forro
298,finnish pop
299,salsa
300,c-pop
301,show tunes
302,world worship
303,filter house
304,nueva cancion
305,preverb
306,country dawn
307,punk blues
308,brooklyn indie
309,post-screamo
310,cabaret
311,merengue
312,power pop
313,minimal
314,opm
315,swedish eurodance
316,uk post-punk
317,vocal house
318,danspunk
319,indie garage rock
320,deep new americana
321,axe
322,chanson
323,melodic death metal
324,industrial rock
325,jazz fusion
326,deep regional mexican
327,italian hip hop
328,modern classical
329,garage psych
330,classic swedish pop
331,turkish rock
332,bebop
333,post rock
334,spanish pop rock
335,deep swedish hip hop
336,irish rock
337,dutch pop
338,movie tunes
339,post-disco
340,contemporary post-bop
341,west coast trap
342,swedish hip hop
343,ninja
344,texas blues
345,cantopop
346,blues
347,dutch house
348,anthem emo
349,norwegian pop
350,chillstep
351,minimal techno
352,chilean rock
353,canadian indie
354,experimental rock
355,dutch hip hop
356,acid jazz
357,wrestling
358,melodic hardcore
359,easy listening
360,fourth world
361,progressive bluegrass
362,microhouse
363,big beat
364,norwegian indie
365,hip house
366,post-hardcore
367,vallenato
368,rock gaucho
369,broadway
370,tech house
371,indonesian pop
372,traditional blues
373,electro latino
374,dreamo
375,noise rock
376,aussietronica
377,french rock
378,soul jazz
379,antiviral pop
380,sheffield indie
381,australian pop
382,country blues
383,french indie pop
384,swedish indie pop
385,uplifting trance
386,uk garage
387,latin christian
388,french indietronica
389,hard bop
390,swing
391,country gospel
392,ambient
393,azontobeats
394,russelater
395,reggae rock
396,lovers rock
397,electro swing
398,mexican indie
399,epicore
400,french reggae
401,neo classical metal
402,new age
403,zapstep
404,celtic rock
405,turntablism
406,death metal
407,latin jazz
408,industrial
409,stoner rock
410,nu disco
411,indie rockism
412,latin metal
413,ska
414,classic norwegian pop
415,deep melodic euro house
416,indie punk
417,gauze pop
418,deep funk
419,swedish synthpop
420,hyphy
421,gothic metal
422,progressive post-hardcore
423,merengue urbano
424,electro
425,german metal
426,deep chiptune
427,drum and bass
428,flamenco
429,death core
430,german pop rock
431,suomi rock
432,pinoy alternative
433,canadian metal
434,memphis blues
435,ska punk
436,brazilian gospel
437,anime
438,chicago blues
439,drill
440,christian uplift
441,cumbia villera
442,christian hip hop
443,experimental
444,stomp pop
445,turkish jazz
446,stride
447,world
448,deep ccm
449,dub
450,smooth jazz
451,j-pop
452,trova
453,old school hip hop
454,neue deutsche harte
455,hardcore punk
456,pub rock
457,louvor
458,afrobeats
459,indie jazz
460,new orleans blues
461,spanish indie pop
462,big band
463,comedy
464,mambo
465,baroque
466,icelandic pop
467,acoustic blues
468,pop house
469,electroclash
470,deep texas country
471,delta blues
472,shoegaze
473,deep disco house
474,new weird america
475,deep swedish indie pop
476,djent
477,cowboy western
478,cumbia sonidera
479,turkish folk
480,gospel
481,finnish hip hop
482,classical period
483,symphonic metal
484,swedish metal
485,wonky
486,norwegian rock
487,minimal tech house
488,melbourne bounce
489,indonesian indie
490,vaporwave
491,groove room
492,relaxative
493,stoner metal
494,tejano
495,nwobhm
496,piedmont blues
497,sleep
498,j-rock
499,dansband
500,desi
501,filthstep
502,drone
503,bass music
504,liquid funk
505,argentine reggae
506,gothic symphonic metal
507,doo-wop
508,celtic
509,christian relaxative
510,hardstyle
511,alternative r&b
512,spanish punk
513,indian pop
514,meditation
515,boogaloo
516,memphis hip hop
517,afrobeat
518,chicano rap
519,cubaton
520,operatic pop
521,dangdut
522,louisiana blues
523,viking metal
524,polish pop
525,schlager
526,contemporary jazz
527,future garage
528,british folk
529,danish pop rock
530,deep hardstyle
531,desi hip hop
532,hands up
533,spanish hip hop
534,crossover thrash
535,underground rap
536,k-hop
537,healing
538,intelligent dance music
539,classic danish pop
540,a cappella
541,boston rock
542,german indie
543,environmental
544,children’s music
545,rumba
546,deep house
547,norwegian hip hop
548,glitch hop
549,arabesk
550,velha guarda
551,vapor pop
552,mathcore
553,jangle pop
554,opera
555,levenslied
556,australian hip hop
557,folk punk
558,northern soul
559,azonto
560,electropowerpop
561,sludge metal
562,alternative pop rock
563,abstract hip hop
564,brazilian indie
565,swamp blues
566,nu-cumbia
567,retro electro
568,zolo
569,jump blues
570,spanish new wave
571,filmi
572,coverchill
573,jazz metal
574,liedermacher
575,piano blues
576,danseband
577,neoclassical
578,sleaze rock
579,fingerstyle
580,eurovision
581,breakbeat
582,deep turkish pop
583,j-dance
584,alternative ccm
585,polynesian pop
586,german punk
587,riddim
588,finnish metal
589,brazilian punk
590,welsh rock
591,australian country
592,glitch
593,japanese r&b
594,future funk
595,j-rap
596,reading
597,italian indie pop
598,rock steady
599,portland indie
600,folk metal
601,bluegrass
602,fluxwork
603,technical death metal
604,dutch rock
605,uk drill
606,canadian country
607,christian metal
608,grave wave
609,stomp and flutter
610,hardcore techno
611,neo-singer-songwriter
612,discofox
613,float house
614,russian pop
615,electro jazz
616,kiwi rock
617,alternative pop
618,deep uplifting trance
619,slow game
620,no wave
621,turkish hip hop
622,hard alternative
623,scottish rock
624,doom metal
625,black metal
626,folklore argentino
627,progressive uplifting trance
628,deep norteno
629,cuban rumba
630,j-metal
631,neurofunk
632,post-metal
633,dark jazz
634,polish hip hop
635,chicago indie
636,strut
637,modern performance
638,ectofolk
639,jungle
640,classic italian pop
641,nasheed
642,pop flamenco
643,belgian rock
644,austindie
645,peruvian rock
646,italo dance
647,deathgrind
648,jump up
649,techno
650,symphonic black metal
651,pagan black metal
652,british alternative rock
653,kirtan
654,orgcore
655,malaysian pop
656,christian dance
657,idol
658,irish folk
659,new tribe
660,brega
661,western swing
662,post-doom metal
663,drift
664,medieval rock
665,bay area indie
666,dark wave
667,carnaval
668,happy hardcore
669,rap chileno
670,puerto rican rock
671,portuguese rock
672,dubstep
673,new orleans jazz
674,soca
675,russian rock
676,classic finnish pop
677,seattle indie
678,electrofox
679,chamame
680,spanish noise pop
681,ambeat
682,albuquerque indie
683,austropop
684,italian disco
685,arab pop
686,italian pop rock
687,hardcore
688,gbvfi
689,soul flow
690,harmonica blues
691,math pop
692,baile funk
693,brutal death metal
694,progressive deathcore
695,medieval
696,salsa international
697,melodipop
698,celtic punk
699,british indie rock
700,quebecois
701,grindcore
702,psychedelic trance
703,ethereal wave
704,outsider house
705,chicago house
706,math rock
707,garage pop
708,romantico
709,
710,i
711,ebm
712,rock catala
713,psychedelic doom
714,freestyle
715,mexican rock-and-roll
716,balearic
717,colombian rock
718,laiko
719,nintendocore
720,twee pop
721,japanese city pop
722,deep minimal techno
723,barnmusik
724,classic russian rock
725,classic finnish rock
726,indie dream pop
727,bmore
728,ska revival
729,avantgarde metal
730,entehno
731,african gospel
732,avant-garde jazz
733,mande pop
734,world fusion
735,nordic house
736,nu age
737,brazilian ccm
738,drill and bass
739,warm drone
740,polish punk
741,straight edge
742,free jazz
743,swedish hard rock
744,deep comedy
745,acid house
746,post-post-hardcore
747,ye ye
748,electro-industrial
749,turbo folk
750,chaotic hardcore
751,funky tech house
752,mashup
753,speed garage
754,destroy techno
755,gothic rock
756,canterbury scene
757,sertanejo tradicional
758,dansktop
759,bassline
760,oi
761,j-idol
762,nursery
763,deep latin christian
764,african rock
765,gypsy jazz
766,k-indie
767,christian hardcore
768,singaporean pop
769,romanian pop
770,retro metal
771,emo punk
772,classic garage rock
773,surf music
774,kindermusik
775,classic chinese pop
776,substep
777,kraut rock
778,world meditation
779,argentine indie
780,futurepop
781,laboratorio
782,tango
783,classical performance
784,vancouver indie
785,mandible
786,russiavision
787,slovak pop
788,steampunk
789,fado
790,old-time
791,chill lounge
792,bhangra
793,volksmusik
794,freakbeat
795,christian punk
796,norwegian metal
797,hawaiian
798,cello
799,dixieland
800,psychobilly
801,canzone napoletana
802,punjabi
803,danish hip hop
804,horror punk
805,alternative roots rock
806,orchestral
807,atmospheric black metal
808,musica para ninos
809,zouk riddim
810,uk hip hop
811,comedy rock
812,athens indie
813,gabba
814,latin electronica
815,early music
816,turkish alternative
817,drone metal
818,kabarett
819,deep talent show
820,classical piano
821,j-poprock
822,swedish reggae
823,choro
824,psychill
825,columbus ohio indie
826,progressive psytrance
827,venezuelan rock
828,persian pop
829,italian metal
830,theme
831,detroit techno
832,neo-trad metal
833,jazz trio
834,russian hip hop
835,deep latin alternative
836,p funk
837,czech rock
838,abstract beats
839,hungarian rock
840,israeli rock
841,ballroom
842,swedish jazz
843,aggrotech
844,electro bailando
845,deep indian pop
846,praise
847,kizomba
848,power-pop punk
849,bubble trance
850,ok indie
851,progressive trance house
852,neo-progressive
853,avant-garde
854,vintage italian soundtrack
855,hungarian pop
856,swedish punk
857,dub techno
858,black thrash
859,choral
860,voidgaze
861,tribal house
862,popgaze
863,indie psych-pop
864,visual kei
865,anime score
866,melodic hard rock
867,power blues-rock
868,andean
869,dark cabaret
870,shimmer psych
871,french movie tunes
872,goregrind
873,deep pop punk
874,exotica
875,classic colombian pop
876,barnemusikk
877,basque rock
878,mizrahi
879,rai
880,czech folk
881,folkmusik
882,classic turkish pop
883,horrorcore
884,perth indie
885,deep chill
886,renaissance
887,j-indie
888,fidget house
889,deep melodic metalcore
890,violin
891,nu skool breaks
892,christelijk
893,highlife
894,string quartet
895,timba
896,chiptune
897,belly dance
898,zouk
899,vintage swedish pop
900,brass band
901,russian punk
902,kids dance party
903,classic peruvian pop
904,acid techno
905,southern gospel
906,sega
907,lds
908,vienna indie
909,turkish classical
910,mod revival
911,neue deutsche welle
912,deep liquid
913,spanish reggae
914,norwegian gospel
915,digital hardcore
916,deep soul house
917,albanian pop
918,
919,french folk pop
920,bouncy house
921,girl group
922,classic icelandic pop
923,polish reggae
924,thai idol
925,swiss rock
926,hip hop tuga
927,college a cappella
928,instrumental post rock
929,irish country
930,dominican pop
931,native american
932,uk dub
933,southern soul blues
934,bounce
935,jazz bass
936,rio de la plata
937,hauntology
938,catalan folk
939,nordic folk
940,miami bass
941,arab folk
942,yugoslav rock
943,ambient idm
944,swamp pop
945,classic belgian pop
946,beats
947,classic polish pop
948,spanish folk
949,vintage french electronic
950,riot grrrl
951,free improvisation
952,hip hop quebecois
953,shibuya-kei
954,garage punk
955,pakistani pop
956,harpsichord
957,tin pan alley
958,musica nativista
959,classical guitar
960,appalachian folk
961,deep christian rock
962,morna
963,thai pop
964,desert blues
965,cante flamenco
966,new age piano
967,samba-enredo
968,polish indie
969,vintage tango
970,balkan brass
971,thrash core
972,italian jazz
973,atmospheric post rock
974,estonian pop
975,chanson quebecois
976,croatian pop
977,soukous
978,qawwali
979,boogie-woogie
980,brazilian composition
981,czech hip hop
982,modern uplift
983,serialism
984,disco polo
985,stomp and whittle
986,neo-rockabilly
987,hiplife
988,workout
989,deep tech house
990,karneval
991,underground latin hip hop
992,kompa
993,electropunk
994,melodic power metal
995,drumfunk
996,metal guitar
997,portuguese pop
998,tico
999,finnish indie
1000,ecuadoria
1001,electronica
1002,cyber metal
1003,german oi
1004,full on
1005,kwaito house
1006,vietnamese pop
1007,vocaloid
1008,heavy alternative
1009,outsider
1010,deep flow
1011,irish indie
1012,gothic alternative
1013,jumpstyle
1014,k-rock
1015,crust punk
1016,psych gaze
1017,fake
1018,german show tunes
1019,brutal deathcore
1020,orquesta tropical
1021,ethiopian pop
1022,blackgaze
1023,calypso
1024,slovak hip hop
1025,mbalax
1026,grunge pop
1027,beatdown
1028,rosary
1029,composition d
1030,latvian pop
1031,j-ambient
1032,traditional rock ‘n roll
1033,rva indie
1034,dark black metal
1035,alternative americana
1036,deep acoustic pop
1037,classic venezuelan pop
1038,witch house
1039,orquesta tipica
1040,austrian hip hop
1041,concert piano
1042,electro dub
1043,ragtime
1044,louisville indie
1045,drone folk
1046,canadian hip hop
1047,lounge house
1048,hungarian hip hop
1049,ukrainian rock
1050,neofolk
1051,world chill
1052,traditional ska
1053,denver indie
1054,deep smooth jazz
1055,anarcho-punk
1056,oshare kei
1057,yoik
1058,leeds indie
1059,geek rock
1060,indie emo
1061,funk carioca
1062,abstract
1063,traditional british folk
1064,dirty texas rap
1065,judaica
1066,japanese psychedelic
1067,classic czech pop
1068,deep dance pop
1069,broken beat
1070,deep rai
1071,lithumania
1072,hard minimal techno
1073,lo star
1074,modern southern rock
1075,neo-synthpop
1076,nwothm
1077,zouglou
1078,makossa
1079,footwork
1080,zillertal
1081,acousmatic
1082,mexican son
1083,ukulele
1084,deep gothic post-punk
1085,deep soundtrack
1086,swiss hip hop
1087,deep neofolk
1088,tone
1089,ghazal
1090,deep contemporary country
1091,psychedelic blues-rock
1092,musiikkia lapsille
1093,semba
1094,deep adult standards
1095,islamic recitation
1096,blaskapelle
1097,guidance
1098,kurdish folk
1099,tribute
1100,atmospheric post-metal
1101,darkstep
1102,vegan straight edge
1103,nerdcore
1104,new beat
1105,crack rock steady
1106,swedish prog
1107,danish indie
1108,belgian indie
1109,slavic metal
1110,classic soundtrack
1111,slc indie
1112,classic french pop
1113,kayokyoku
1114,electro trash
1115,traditional swing
1116,garage punk blues
1117,deep german punk
1118,deep discofox
1119,indian classical
1120,classic afrobeat
1121,black death
1122,dark hardcore
1123,minimal wave
1124,zydeco
1125,downtempo fusion
1126,jazz brass
1127,australian indie
1128,underground power pop
1129,gothic americana
1130,traditional scottish folk
1131,classic dutch pop
1132,nl folk
1133,didgeridoo
1134,schranz
1135,funky breaks
1136,motivation
1137,indie singer-songwriter
1138,spanish invasion
1139,euroska
1140,ragga jungle
1141,breakcore
1142,library music
1143,deep psychobilly
1144,michigan indie
1145,chalga
1146,electronicore
1147,corrosion
1148,south african jazz
1149,usbm
1150,solipsynthm
1151,progressive alternative
1152,neurostep
1153,deep brazilian pop
1154,deep orchestral
1155,deep melodic hard rock
1156,string folk
1157,dark ambient
1158,mallet
1159,deep disco
1160,power violence
1161,contemporary composition
1162,fast melodic punk
1163,finnish hardcore
1164,martial industrial
1165,classic russian pop
1166,hindustani classical
1167,enka
1168,russian alternative
1169,minimal melodic techno
1170,beach music
1171,japanese jazztronica
1172,neo metal
1173,rebetiko
1174,future ambient
1175,tzadik
1176,kwaito
1177,liturgical
1178,abstract idm
1179,ostrock
1180,gospel reggae
1181,faroese pop
1182,musica per bambini
1183,melodic progressive metal
1184,monastic
1185,scratch
1186,ambient psychill
1187,string band
1188,french punk
1189,panpipe
1190,afrikaans
1191,japanoise
1192,power electronics
1193,byzantine
1194,russian folk
1195,gamecore
1196,rap metalcore
1197,traditional soul
1198,coupe decale
1199,musique pour enfants
1200,consort
1201,bass trip
1202,porro
1203,norwegian jazz
1204,italian progressive rock
1205,galego
1206,hard house
1207,bossa nova jazz
1208,spanish classical
1209,classic schlager
1210,nz indie
1211,slam death metal
1212,bemani
1213,manele
1214,deep opera
1215,deep progressive trance
1216,deep liquid bass
1217,magyar
1218,german ccm
1219,deep ambient
1220,polyphony
1221,deep soft rock
1222,iskelma
1223,bay area hip hop
1224,wind ensemble
1225,shanty
1226,military band
1227,romanian rock
1228,luk thung
1229,greek indie
1230,funeral doom
1231,flick hop
1232,chaotic black metal
1233,deep folk metal
1234,armenian folk
1235,skinhead reggae
1236,tekno
1237,italian folk
1238,screamocore
1239,marching band
1240,indie fuzzpop
1241,persian traditional
1242,neo-pagan
1243,dark psytrance
1244,african percussion
1245,go-go
1246,spoken word
1247,breton folk
1248,vapor house
1249,depressive black metal
1250,minimal dubstep
1251,jig and reel
1252,deep canadian indie
1253,experimental psych
1254,deep sunset lounge
1255,indie shoegaze
1256,vintage chanson
1257,harp
1258,swedish pop punk
1259,indorock
1260,punta
1261,kuduro
1262,thrash-groove metal
1263,doujin
1264,cornetas y tambores
1265,accordion
1266,pipe band
1267,ghettotech
1268,corsican folk
1269,speedcore
1270,outer hip hop
1271,jazz orchestra
1272,danish jazz
1273,trash rock
1274,indie pop rock
1275,jug band
1276,remix
1277,benga
1278,neo-industrial rock
1279,west african jazz
1280,nepali
1281,hebrew pop
1282,bulgarian rock
1283,geek folk
1284,deep darkpsy
1285,deep happy hardcore
1286,blues-rock guitar
1287,klezmer
1288,triangle indie
1289,black sludge
1290,deep german indie
1291,barbershop
1292,greek hip hop
1293,brass ensemble
1294,j-core
1295,dark minimal techno
1296,screamo punk
1297,cumbia funk
1298,greek house
1299,zim
1300,technical brutal death metal
1301,ambient fusion
1302,deep jazz guitar
1303,italian punk
1304,british dance band
1305,hard glam
1306,chinese traditional
1307,commons
1308,dallas indie
1309,light music
1310,deep deep house
1311,northern irish indie
1312,sinhala
1313,j-reggae
1314,gospel blues
1315,power noise
1316,abstractro
1317,throat singing
1318,street punk
1319,capoeira
1320,post-disco soul
1321,drama
1322,deep vocal house
1323,deep vocal jazz
1324,vintage jazz
1325,deep melodic death metal
1326,deep indie singer-songwriter
1327,mantra
1328,british brass band
1329,contemporary folk
1330,chinese indie rock
1331,finnish jazz
1332,deep psytrance
1333,soda pop
1334,unblack metal
1335,traditional funk
1336,fussball
1337,deep ragga
1338,deep new wave
1339,covertrance
1340,deep full on
1341,deep southern soul
1342,steelpan
1343,cajun
1344,stl indie
1345,japanese traditional
1346,poetry
1347,dubsteppe
1348,carnatic
1349,makina
1350,deep indie pop
1351,classic eurovision
1352,noise punk
1353,slash punk
1354,spanish indie rock
1355,
1356,college marching band
1357,muziek voor kinderen
1358,grisly death metal
1359,gothic post-punk
1360,musique concrete
1361,chamber choir
1362,oratory
1363,hardcore breaks
1364,deep east coast hip hop
1365,deep funk house
1366,mexican traditional
1367,classical organ
1368,classical flute
1369,fallen angel
1370,skiffle
1371,sunset lounge
1372,organic ambient
1373,bangla
1374,belorush
1375,deep indie rock
1376,traditional reggae
1377,spytrack
1378,early music ensemble
1379,polka
1380,deep freestyle
1381,neo soul-jazz
1382,deep progressive house
1383,contemporary classical
1384,electroacoustic improvisation
1385,traditional rockabilly
1386,halloween
1387,clarinet
1388,deep jazz piano
1389,deep jazz fusion
1390,indian rock
1391,deep downtempo fusion
1392,crossover prog
1393,deep classic garage rock
1394,experimental dubstep
1395,dubstep product
1396,football
1397,glitch beats
1398,skinhead oi
1399,polish jazz
1400,villancicos
1401,deep chill-out
1402,deep g funk
1403,classic psychedelic rock
1404,punk ska
1405,deep filthstep
1406,deep nordic folk
1407,skweee
1408,deep northern soul
1409,deep pop emo
1410,deep hardcore
1411,goa trance
1412,deep surf music
1413,klapa
1414,baroque ensemble
1415,gamelan
1416,deep swedish rock
1417,deep thrash metal
1418,deep italo disco
1419,hatecore
1420,demoscene
1421,raw black metal
1422,hard stoner rock
1423,norwegian punk
1424,slovenian rock
1425,wrock
1426,dark progressive house
1427,accordeon
1428,re:techno
1429,ambient dub techno
1430,neo honky tonk
1431,maghreb
1432,charred death
1433,chill groove
1434,breaks
1435,kc indie
1436,modern downshift
1437,vintage swing
1438,guitar case
1439,tibetan
1440,deep punk rock
1441,noise
1442,deep free jazz
1443,deep motown
1444,j-punk
1445,tanzlmusi
1446,italo beats
1447,glitter trance
1448,malagasy folk
1449,lowercase
1450,chill-out trance
1451,new jack smooth
1452,deep nz indie
1453,twin cities indie
1454,deep eurodance
1455,deep power-pop punk
1456,grim death metal
1457,alternative hardcore
1458,deep dub techno
1459,j-poppunk
1460,deep space rock
1461,deep cello
1462,vintage rockabilly
1463,chinese experimental
1464,terrorcore
1465,zeuhl
1466,doomcore
1467,chinese opera
1468,indie emo rock
1469,french folk
1470,jangle rock
1471,german street punk
1472,nu electro
1473,deep hardcore punk
1474,rhythm and boogie
1475,alternative metalcore
1476,ceilidh
1477,bulgarian folk
1478,modern free jazz
1479,thai indie
1480,deep neo-synthpop
1481,heavy gothic rock
1482,ghoststep
1483,jazz composition
1484,cryptic black metal
1485,deep classical piano
1486,ethereal gothic
1487,deep orgcore
1488,vintage schlager
1489,swedish jazz orkester
1490,song poem
1491,vintage country folk
1492,gothic doom
1493,vintage gospel
1494,chip hop
1495,deep delta blues
1496,deep german jazz
1497,twee indie pop
1498,dark electro-industrial
1499,neo-traditional country
1500,cinematic dubstep
1501,deep symphonic black metal
1502,saxophone
1503,deep breakcore
1504,anime cv
1505,caucasian folk
1506,necrogrind
1507,deep latin jazz
1508,smooth urban r&b
1509,vintage swoon
1510,central asian folk
1511,vintage reggae
1512,drone psych
1513,deep deep tech house
1514,vintage western
1515,rock noise
1516,deep string quarte
